Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort,Fmort
,1968,4567.84,435.47,0.955,4516.35,920.55,135.98,125.34,0.0301,0.362,0.03
,1969,4602.91,433.07,0.95,4554.21,733.86,145.84,138.91,0.032,0.379,0.032
,1970,4646.63,431.86,0.947,4605.34,601.87,181.2,174.24,0.0393,0.436,0.039
,1971,4659.83,429.96,0.943,4626.78,448.94,169.15,164.59,0.0366,0.414,0.037
,1972,4673.67,431.83,0.947,4647.03,352.71,215.21,203.77,0.0463,0.483,0.046
,1973,4614.6,431,0.945,4594.42,369.76,246.3,226.98,0.0536,0.53,0.054
,1974,4486.66,426.83,0.936,4469.8,346.56,270.39,238.12,0.0605,0.569,0.06
,1975,4294.07,417.65,0.916,4276.81,360.21,267.98,227.92,0.0627,0.586,0.063
,1976,4067.38,404.5,0.887,4050.87,326.14,296.45,241.45,0.0732,0.639,0.073
,1977,3784.15,383.51,0.841,3767.53,299.75,306.11,242.2,0.0812,0.675,0.081
,1978,3472.52,356.86,0.783,3457.47,232.8,281.47,221.99,0.0814,0.684,0.081
,1979,3174.27,329.26,0.722,3160.9,187.94,292.8,229.9,0.0926,0.727,0.093
,1980,2858.07,298.28,0.654,2847.53,217.41,305.18,231.7,0.1072,0.758,0.107
,1981,2527.48,264.65,0.58,2518.1,334.14,287.77,218.3,0.1143,0.778,0.114
,1982,2212.81,232.52,0.51,2201.33,234.84,284.03,213.82,0.129,0.81,0.129
,1983,1907.83,200.58,0.44,1893.14,235.05,209.77,147.73,0.1108,0.739,0.111
,1984,1692.01,176.12,0.386,1680.62,447.6,185.11,139.46,0.1101,0.752,0.11
,1985,1514.36,155,0.34,1500.74,523.58,206.53,169.85,0.1376,0.825,0.138
,1986,1330.87,132.96,0.292,1309.12,296.96,164.96,142.38,0.126,0.803,0.126
,1987,1208.87,116.51,0.255,1186.71,257.78,100.25,93.31,0.0845,0.681,0.084
,1988,1173.07,107.82,0.236,1159.43,279.58,112.68,112,0.0972,0.719,0.097
,1989,1138.04,99.83,0.219,1125.43,407.86,122.44,116.05,0.1088,0.737,0.109
,1990,1100.88,93.15,0.204,1086.12,469.8,133.18,130.37,0.1226,0.765,0.123
,1991,1058.82,87.8,0.193,1039,327.61,131.79,126.21,0.1268,0.768,0.127
,1992,1025.8,83.51,0.183,1005.23,286.37,142.04,133.39,0.1413,0.789,0.141
,1993,992.27,78.41,0.172,977.08,407,162.74,167.32,0.1666,0.837,0.167
,1994,942.61,72.08,0.158,927.81,317.66,93.49,102.28,0.1008,0.709,0.101
,1995,961.26,72.67,0.159,943.14,218.89,76.06,75.84,0.0806,0.632,0.081
,1996,999.72,75.57,0.166,985.78,241.58,83.98,82.63,0.0852,0.648,0.085
,1997,1029.25,78.53,0.172,1018.59,279.98,80.03,76.06,0.0786,0.62,0.079
,1998,1057.2,82.12,0.18,1045.31,299.09,44.9,42.27,0.043,0.438,0.043
,1999,1113.01,89,0.195,1099.59,261.92,37.01,35.45,0.0337,0.365,0.034
,2000,1170.7,96.57,0.212,1157.02,218.67,31.63,28.89,0.0273,0.305,0.027
,2001,1228.57,104,0.228,1216.64,239.87,28.95,25.95,0.0238,0.279,0.024
,2002,1283.44,110.88,0.243,1272.81,270.89,21.83,19.8,0.0171,0.21,0.017
,2003,1338.32,117.83,0.258,1326.67,230.12,23.78,23.17,0.0179,0.22,0.018
,2004,1383.97,124.17,0.272,1371.65,195.04,18.92,17.59,0.0138,0.176,0.014
,2005,1428.29,130.34,0.286,1417.82,169.63,34.85,32.09,0.0246,0.291,0.025
,2006,1448.93,134.25,0.294,1439.83,298.01,36.21,33.27,0.0252,0.301,0.025
,2007,1461.11,137.22,0.301,1451.07,739.47,42.04,37.92,0.029,0.34,0.029
,2008,1465.03,138.92,0.305,1446.13,581.25,31.8,28.28,0.022,0.275,0.022
,2009,1488.36,140.85,0.309,1455.05,662.15,39.21,35.08,0.0269,0.33,0.027
,2010,1527.53,141.3,0.31,1499.54,318.97,27.47,25.35,0.0183,0.246,0.018
,2011,1604.82,142.69,0.313,1577.33,344.19,25.88,27.99,0.0164,0.226,0.016
,2012,1705.29,145.82,0.32,1689.6,581.89,34.91,39.5,0.0207,0.266,0.021
,2013,1805.29,151.35,0.332,1786.43,486.33,25.64,29.47,0.0144,0.186,0.014
,2014,1916.69,161.15,0.353,1890.33,409.56,36.94,40.57,0.0195,0.238,0.02
,2015,2018.03,172.25,0.378,1995.75,510.9,65.46,68.94,0.0328,0.362,0.033
,2016,2087.86,181.11,0.397,2067.65,253.74,66.32,68.43,0.0321,0.357,0.032
,2017,2151,189.01,0.414,2129.09,750.67,138.62,120.88,0.0651,0.562,0.065
,2018,2139.83,189.15,0.415,2122.46,544.82,102.38,90.37,0.0482,0.473,0.048
,2019,2160.15,192.23,0.422,2127.24,313.44,101.89,90.02,0.0479,0.47,0.048
,2020,2184.38,194.9,0.427,2161,472.66,103.17,91,0.0477,0.475,0.048
,2021,2208.72,196.8,0.432,2192.09,473.58,77.05,70.57,0.0351,0.388,0.035
,2022,2255.52,201.06,0.441,2233.13,475.59,47.15,41.65,0.0211,0.256,0.021
,2023,2328.87,208.74,0.458,2306.43,479.05,64.7,56.15,0.0281,0.321,0
